Feature,Importance value
AGE,0.114267990944509
FRSTUSE1,0.08963781625117627
EDUC,0.06868335044982517
PSOURCE,0.06349179265975209
DSMCRIT,0.062233368842379275
EMPLOY,0.053574405672393965
REGION,0.052524527559965305
MARSTAT,0.0493531294933802
RACE,0.0458707387348425
FREQ_ATND_SELF_HELP,0.041891419880406004
SUB2,0.0412623751990437
FREQ1,0.040085967066481855
NOPRIOR,0.030457527967860304
ROUTE1,0.03016352523818541
SUB1,0.029791346737448165
LIVARAG,0.02796498873248508
GENDER,0.02724304127118545
SERVICES,0.024013417688443138
PSYPROB,0.022843137350812948
ALCDRUG,0.015061371657944774
MARFLG,0.013653527423067753
COKEFLG,0.012212882242791821
OPSYNFLG,0.010281889499697952
MTHAMFLG,0.009060887714776065
ALCFLG,0.00857833016181416
HERFLG,0.00840492169364643
VET,0.0073923218656850665
DISYR,0.0
